,Experience,LoanDuration,MonthlyDebtPayments,CreditCardUtilizationRate,DebtToIncomeRatio,BankruptcyHistory,PreviousLoanDefaults,PaymentHistory,SavingsAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,InterestRate,MonthlyLoanPayment,RiskScore
0,0.5142797363188308,-0.12699761104801827,-1.5600678468509452,0.5342658055363122,0.5580696293553299,0,0,1.011326308808998,0.9346887306723725,0.9121748364802351,-0.13914696440787053,-0.2987829099004588,-0.7698969445750411,-0.19745883162219616,-0.9520300384538777,-0.2538848992833125
2,0.7193039872850573,-0.6753585763329861,1.625678572110387,-0.914086146103378,-0.11074394053051877,0,0,-0.7937558706366962,-1.2142530712339676,-0.9137337094612,1.7701724870326543,-0.2664553729867333,0.5584117791771338,-0.5854875348288641,-0.15419106219862594,0.13350077167107635
3,1.0781641876126884,1.5488924228663394,1.2661327305137082,0.0294462083302568,0.9577387030708827,0,0,0.6291732354290944,-0.5807638831491302,0.5712864166469586,-1.4059102222917341,0.5985195975877224,0.8207128159045237,1.4005182526000148,0.5806817213110657,0.39607032621568317
6,1.2769129233361753,-0.12699761104801827,-0.3507011934305149,0.6041733007737216,-0.9913173339994444,0,0,-0.5810600156424354,0.5428132816266175,0.08746563633952063,0.6884771648874775,0.11523506753781333,0.6886860669813405,-0.7827001776381562,-1.0777814101226226,-0.12563367254940278
11,-0.20576521948721177,-1.330933556437262,-0.6153993085435342,0.2973497302957437,0.49478891476865283,0,0,-0.5810600156424354,-2.432805202379157,-0.627393557844963,-1.8725958720902098,-2.026641353789542,0.24634509444007227,-1.4489683369810606,1.1390892008829294,0.6619907452104249
12,0.45955041550622583,0.35332378252839897,-0.881304603661741,1.3845188052156658,0.6259109317605108,0,0,0.4344572759471336,-1.3395255371075632,-1.379425105925929,0.4757625588728992,0.7174850477446727,-0.8144207451733181,0.4660064572990926,-0.717305735851044,0.6619907452104249
16,-0.5796911620952079,0.35332378252839897,1.055178596402427,-1.2234995763625243,0.28188009000610875,0,0,2.2830391154643768,-0.3027084826331219,-1.7759545111724584,1.3999762300415755,0.07602569417105412,1.1064648814204592,-1.3049357464032738,-0.6704625913412512,0.2643615490789512
17,0.6193815468675493,1.5488924228663394,1.3110770336006745,-0.264156859086399,0.2034145930579672,0,0,-1.2304857101868159,1.4881421918536166,0.20961648557335805,-1.6464828350506078,1.712244566825854,1.7344667156321139,-0.2929977058216356,-1.543964755562496,-1.4614602758056305
18,-0.47607198732293726,0.7855688599111644,-0.6769281790904873,1.5107150558314242,-1.205461416373557,0,1,0.2371474582064844,1.0603617118120447,-0.7549629588525335,0.13900917267719776,-1.9052907293061578,1.4528094513236454,-0.020859171008964398,-1.124958417177875,1.0669821996288231
22,0.2232134927949859,0.35332378252839897,0.703753274039906,-0.25319064557155246,1.8232250275061617,0,0,0.4344572759471336,-1.420253405949278,-0.9648345661213391,0.2114363245801072,1.3814025113077824,0.3454263062612802,-0.8983658502667871,-1.8290040815104525,-0.5831286402512728
24,-0.12580834347129477,0.35332378252839897,-1.3947896060516203,0.4910565476792446,1.5844290964088519,0,0,-1.01014319085766,-1.2672088931410266,0.9905821651929702,1.24671261512475,-0.3102774989513945,-1.6358248691337218,0.41639033875108117,1.0428744280963065,1.2035718383525928
28,-0.2902551749263215,-0.6753585763329861,1.1078219558667401,0.7271985967256739,-0.5891029634465251,0,0,-1.2304857101868159,-0.7984786669275791,-0.5922576379623292,0.35584600427608964,-0.4985528489063915,-0.9241606139002073,-2.0168053162045627,-1.0646222583446288,-0.3812432080550123
